s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19
s1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
s2,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1
s3,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1
s4,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0
s5,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0
s6,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1
s7,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0
s8,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0
s9,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1
s10,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1
s11,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1
s12,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1
s13,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1
s14,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0
s15,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1
s16,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1
s17,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1
s18,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1
s19,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,0
